,text,hashtags
0,"Campus turn into camp rioters , security personnel allowing them , trying to stop entry of @DelhiPolice , thanks to Delhi police for Protecting other innocent students of Jamia , why rioters choose Jamia instead of JNU ? To make religious , to start a communal war ,#AMUprotesthttps://twitter.com/TajinderBagga/status/1206258147670642689 …",['AMUprotesthttps']
1,"There are many universities in India but JNU, AMU JMI are against to present government. Actually they don't want to peaceful.",[]
2,Saba Aunty ki beti Canada padhti hai. Coz she couldn't get admission in prestigious JNU or JMI https://twitter.com/vivekagnihotri/status/1206421776718127104 …,[]
3,"Why should someone 'try' to break the law.
It is always a bad choice  made by these 'students' from Jamia and JNU type rioters

Did any student from places like IIT  engage in such stupidity ?",[]
4,"Not expected from you atleast ...did you ever try to know the fact that why police entering into #jamia, #jnu only .. kyun bhai baki universities mein Mujra Hota hai kya... ? #ShutdownJamia #shutdownjnu","['jamia', 'jnu', 'ShutdownJamia', 'shutdownjnu']"
5,"Both Xtians and M have understood that thevpower centre of Delhi must be invaded, all colleges are full of them. Especially humanities in DU and JNU. Why else would so many Xtians invade the media right from DD to BT?",[]
6,Are you one of mufti’s gang from JNU or Jamiya Milia ? https://twitter.com/ADITIJOSHI01/status/1206493513996587008 …,[]
7,"I would like to request @AmitShah @narendramodi to closed Jnu,Amu and jamia university they are not going for learning they all are there cz they want to divide India",[]
8,"nope, its because you have a life / job other than politics and are doing this voluntarily. The JNU / Left liberals are supported by ISI funds and have nothing else to do..",[]
9,"So now we know when they say WhatsApp University which place they refer to. 

#JNU https://twitter.com/IndianExpress/status/1206703416187031552 …",['JNU']
10,Next should be #JNU on the list by #DelhiPolice,"['JNU', 'DelhiPolice']"
11,"Why JNU students never leave JNU, people give them complicated problems to solve .. https://twitter.com/effucktivehumor/status/1206412161188159488 …",[]
12,Bangalore. You forgot to mention it. 70 year old students who have applied in JNU hit the streets in Bangalore near town hall.,[]
13,"JNU. AMU JAMIYA YAH SAB AATANKI PAIDA KAR RAHE HA. 
SHOOT AT SIGHT 
SAY PAKISTAN FOR THE CAB ALSO IF YOU LIKE MUSHLIM COUNTY. 
CAB. NRC IS NECESSARY",[]
14,"Nehruvian JNU, AMU etc also had the same subsidized course. Yet you went for African Anthropology. Who’d you blame for that now? Brahmins!!",[]
15,"In solidarity with the bravehearts of #JamiaMilia,  #AMU, JNU and all those taking a stand against this draconian system.

Shame of you #DelhiPolice
#JamiaProtest #AMUprotest #PoliceBrutalityinJamia #PoliceStopViolencepic.twitter.com/QEBEJwiBeu","['JamiaMilia', 'AMU', 'DelhiPolice', 'JamiaProtest', 'AMUprotest', 'PoliceBrutalityinJamia', 'PoliceStopViolencepic']"
16,well said sonam ji i don't understand why are the tax payers of india funding jnu n anu we should protest and stop the funding of these anti indians immediately @TahirGora @TarekFatahhttps://twitter.com/AsYouNotWish/status/1206167957644005377 …,[]
17,"Education was never the reason , its in mindset . 

Whether it Uneducated Jobless Youth of Kashmir or Educated and still Jobless Youth of Jamia or JNU. #Shamepic.twitter.com/U7hqVMgRwx",['Shamepic']
18,"1-vo JNU ke nhi JMI ke the
2- Vo students hi the ye confirm nhi h
3- vo tv anchor ABP News ki thi
4- dusre anchors jinko boycott kia vo zee news k the
5- wahan or bhi news reporters the
6- un reporters se students ne tameez se baat ki h.
7- bas ek taraf ki news dekhna bnd kr de.",[]
19,True something needs to be done. Hindu himself is not united. Yesterday at my workplace there was a man defending JNU aa his daughter had studied there and he convinced everyone that JNU is being pointed out because it is BJP ruling otherwise it is left oriented https://twitter.com/Pushp_Kul/status/1208804455132479489 …,[]
20,"Leftist student unions and faculty affiliated to communist party are behind the whole drama while its a shame on pro congress and anti Modi paid media to have spread lies.May be the Pondicherry University has been infected with the JNU virus.
https://www.news18.com/news/india/refused-entry-during-presidents-visit-pondicherry-university-student-rejects-gold-medal-at-convocation-2434191.html …",[]
21,That's what you learn at #JNU ? Utter waste of tax payers money to run these hostels.. Can't differentiate between Buses versus People who travel in those burnt buses Kangana talked about.,['JNU']
22,This thread on JNU...  https://twitter.com/hathyogi1/status/1209163603544178688 …,[]
23,JNU scholar or son of SIMI founder??,[]
24,"Six JNU students suspended for protesting against fee hike, JNUSU alleges https://www.republicworld.com/india-news/general-news/six-jnu-students-suspended-for-protesting-against-fee-hike …",[]
